Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity
5,0,0,0,0
10,0,0,0,0
15,22,0,0,0
20,24,0,0,0
25,24,0,0,0
30,25,0,0,0
35,25,0,0,0
40,27,0,0,0
45,28,0,0,0
50,30,0,0,0
55,30,0,0,0
60,31,0,0,0
65,32,0,0,0
70,30,0,0,0
75,31,0,0,0
80,32,0,0,0
85,34,0,0,0
90,32,0,0,0
95,33,0,0,0
100,34,0,0,0
105,36,0,0,0
110,37,0,0,0
115,34,0,0,0
120,33,0,0,0
125,32,0,0,0
130,31,0,0,0
135,31,0,0,0
140,33,0,0,0
145,33,0,0,0
150,32,0,0,0
155,29,0,0,0
160,28,0,0,0
165,27,0,0,0
170,28,0,0,0
175,29,0,0,0
180,28,0,0,0
185,29,0,0,0
190,29,0,0,0
195,29,0,0,0
200,30,0,0,0
205,31,0,0,0
210,31,0,0,0
215,31,0,0,0
220,29,0,0,0
225,30,0,0,0
230,29,0,0,0
235,27,0,0,0
240,26,0,0,0
245,26,0,0,0
250,26,0,0,0
255,26,0,0,0
260,26,0,0,0
265,26,0,0,0
270,27,0,0,0
275,27,0,0,0
280,27,0,0,0
285,28,0,0,0
290,27,0,0,0
295,27,0,0,0
300,26,0,0,0
305,25,0,0,0
310,25,0,0,0
315,23,0,0,0
320,24,0,0,0
325,24,0,0,0
330,24,0,0,0
335,25,0,0,0
340,27,0,0,0
